episode,avg_reward
1,0.0
2,-3.4477218270578716
3,-10.362179503346894
4,-11.66554491912929
5,-13.875576782978849
6,-7.7912449569096935
7,-8.729974139143525
8,-7.059323801850964
9,-7.575182776726347
10,-7.880117811085948
11,-7.813913516639986
12,-8.593066070192867
13,-8.766754375019248
14,-8.162531511658935
15,-8.810312731294603
16,-8.65042273905387
17,-12.010299399567533
18,-15.377103626173293
19,-14.809776232627646
20,-14.265310355120404
21,-15.380858193041533
22,-15.249552974123588
23,-14.20662135053213
24,-14.798550257850955
25,-14.602109154784811
26,-15.430837488144496
27,-14.560319672066605
28,-14.209654496578349
29,-14.526436338182533
30,-15.956503190890436
31,-14.285133733533355
32,-14.660829327420714
33,-14.546015997144568
34,-11.8786954822175
35,-10.89083055602925
36,-8.197010814890684
37,-7.968223116557182
38,-8.73590978653446
39,-8.76391690083084
40,-8.514084047141496
41,-9.61053108636249
42,-9.479572278989288
43,-8.163141096455455
44,-8.297223285669558
45,-7.719822655010349
46,-8.996706171321936
47,-6.399729351208611
48,-9.54949213506419
49,-8.430141615811646
50,-8.265448161192495
51,-8.312152046301826
52,-7.905498232597726
53,-5.959821726057286
54,-11.46074576215639
55,-12.32010262102802
56,-12.343579839126805
57,-11.073673750491027
58,-2.815072748444994
59,-4.511074302089142
60,-5.810361893308209
61,-6.396891330397996
62,-4.745779544597607
63,-6.7222057464768845
64,-6.125242236287759
65,-4.44669752891094
66,-4.199898090022492
67,-3.875113725305352
68,-5.799612684669082
69,-7.483376149771067
70,-9.456697824332021
71,-7.854109076626123
72,-3.852580355551713
73,-1.3143772937107296
74,-7.946161230905874
75,-2.7103016960967685
76,-1.6240672568580818
77,-1.0678299901246728
78,-2.1015574243744193
79,-2.4003948299397204
80,-6.137966621929515
81,-5.189179158266936
82,-4.536608867839135
83,-2.7764102371050017
84,-2.5964537422157536
85,-3.216128178629534
86,-1.8912484098014635
87,-1.45919052242655
88,-1.6945456559617025
89,-2.0224215776600603
90,-2.563305182271422
91,-1.5110469843773817
92,-1.2477141424736182
93,-2.081716950869314
94,-1.0996775894547084
95,-0.6562978366424894
96,-1.0077110200069832
97,-0.875868491632138
98,-1.382833315080206
99,-8.814100624659458
100,-11.727158167621878
101,-13.232146075360747
102,-18.88766337008112
103,-18.312226287543428
104,-18.53979185181785
105,-16.996199276673234
106,-18.119094764321964
107,-19.949286792431764
108,-18.103266321498996
109,-16.962780359161492
110,-18.211431225014692
111,-16.826839101578127
112,-18.45521491357741
113,-18.07068793789635
114,-15.471177118264434
115,-14.66621316961956
116,-16.570896831871803
117,-15.876357981845683
118,-15.536053614353353
119,-15.20295652495295
120,-15.134469863694456
121,-12.246152372835558
122,-7.937600116988572
123,-7.571820104539347
124,-2.436770308117371
125,-2.55386547458286
126,-2.046192466317607
127,-2.130994096032007
128,-1.6215074310135156
129,-0.8395290221538834
130,-0.9692485959320414
131,-1.2575684044965545
132,-1.699932193415271
133,-3.1763733976439648
134,-2.687566388402547
135,-8.369022548761054
136,-8.33167845822021
137,-3.613557001735319
138,-1.5319413816036995
139,-6.548219285347034
140,-4.118089427092229
141,-2.5011349361744495
142,-7.047667713041502
143,-2.7834443092674994
144,-1.7572615279636747
145,-1.5791097346449143
146,-1.5899975705671148
147,-2.194225662109771
148,-2.0204447075901073
149,-1.7239762779754475
150,-1.93908241938672
151,-2.189252574239816
152,-3.990353939218417
153,-3.267267467354398
154,-1.9618155283848069
155,-2.9955128108360913
156,-1.9903475894214764
157,-2.93848247596018
158,-1.4225161308408163
159,-2.428176454482729
160,-0.8808310667763481
161,-2.446832988628807
162,-0.5005191387539764
163,-1.2484944255994028
164,-0.9665537992725822
165,-0.931907608295573
166,-1.579993493387636
167,-1.4118327657292624
168,-2.938856432656981
169,-12.428417579474019
170,-11.060819817169698
171,-11.58665671904409
172,-5.048509743468333
173,-2.5656644491088834
174,-2.0777676656177584
175,-3.675488072995838
176,-3.1283583469967113
177,-5.862705808920824
178,-3.9347177344466977
179,-4.030089949645032
180,-5.984249525907084
181,-5.719826926607408
182,-4.331554710249399
183,-3.698089757494589
184,-5.827121345939348
185,-4.967781038981047
186,-4.058281607325886
187,-7.574889167597076
188,-2.424035869903171
189,-4.1682057418909055
190,-4.744953318610345
191,-3.085902760751091
192,-10.698375393412572
193,-5.858437120003452
194,-4.729474065475757
195,-3.543755199199299
196,-2.754241720463105
197,-4.142296674971538
198,-3.363340046461869
199,-3.693242865912733
200,-4.078329629234598
201,-3.7412981801879686
202,-4.735212499275418
203,-3.8202888153949788
204,-2.666707153952666
205,-2.146486301894287
206,-2.345597166515057
207,-1.9969914938745947
208,-8.043523067042521
209,-15.349077632100897
210,-13.095741583934272
211,-10.418384646632395
212,-10.24695186944606
213,-5.897882895155044
214,-7.43502662511114
215,-3.701571119728984
216,-3.606576056077555
217,-7.4154776214354365
218,-8.577821836550406
219,-9.16165114502071
220,-10.148510558312811
221,-7.743869368927238
222,-3.622048489458873
223,-6.308671067998756
224,-3.931341568690209
225,-2.991497174130959
226,-4.871198649224682
227,-3.2962228167249426
228,-2.860206237266309
229,-3.158611130580424
230,-3.633270196836255
231,-3.39017769355184
232,-2.4772990112011612
